,xVal,yVal
1603,200,985
1604,200,986
1605,200,988
1606,201,965
1607,201,966
1608,201,985
1609,201,987
1610,202,965
1611,202,967
1612,202,968
1613,202,986
1614,202,987
1615,203,965
1616,203,967
1617,203,968
1618,204,965
1619,204,966
1620,204,985
1621,204,986
1622,204,987
1623,205,966
1624,205,967
1625,205,988
1626,206,966
1627,206,967
1628,206,968
1629,206,985
1630,206,986
1631,206,987
1632,207,967
1633,207,968
1634,207,987
1635,207,988
1636,208,965
1637,208,966
1638,208,967
1639,208,987
1640,209,966
1641,209,986
1642,209,987
1643,209,988
1644,210,967
1645,210,987
1646,211,965
1647,211,966
1648,211,968
1649,211,988
1650,212,966
1651,212,967
1652,212,968
1653,212,986
1654,212,987
1655,212,988
1656,213,965
1657,213,968
1658,213,988
1659,213,989
1660,214,966
1661,214,967
1662,214,986
1663,214,987
1664,214,988
1665,215,965
1666,215,967
1667,215,969
1668,215,987
1669,216,965
1670,216,966
1671,216,967
1672,216,968
1673,216,969
1674,216,988
1675,216,989
1676,217,967
1677,217,968
1678,217,989
1679,218,966
1680,218,969
1681,218,988
1682,218,990
1683,219,967
1684,219,968
1685,219,987
1686,219,989
1687,220,966
1688,220,967
1689,220,986
1690,220,987
1691,220,990
1692,221,966
1693,221,988
1694,221,989
1695,221,990
1696,221,991
1697,222,966
1698,222,967
1699,222,968
1700,222,988
1701,223,967
1702,223,968
1703,223,969
1704,223,988
1705,223,989
1706,223,990
1707,224,966
1708,224,968
1709,224,989
1710,224,990
1711,225,967
1712,225,968
1713,225,969
1714,225,989
1715,225,990
1716,226,966
1717,226,968
1718,226,970
1719,226,989
1720,226,990
1721,227,965
1722,227,967
1723,227,968
1724,227,969
1725,227,970
1726,227,988
1727,228,965
1728,228,967
1729,228,968
1730,228,989
1731,228,990
1732,229,966
1733,229,968
1734,229,988
1735,229,990
1736,230,967
1737,230,969
1738,230,989
1739,230,990
1740,231,966
1741,231,968
1742,231,969
1743,231,990
1744,231,991
1745,232,967
1746,232,968
1747,232,989
1748,232,990
1749,232,991
1750,233,966
1751,233,969
1752,233,990
1753,234,967
1754,234,969
1755,234,970
1756,234,989
1757,234,991
1758,235,966
1759,235,967
1760,235,968
1761,235,970
1762,235,991
1763,236,966
1764,236,969
1765,236,988
1766,236,989
1767,236,990
1768,237,968
1769,237,969
1770,237,991
1771,238,966
1772,238,967
1773,238,968
1774,238,969
1775,238,988
1776,238,989
1777,238,990
1778,239,966
1779,239,969
1780,239,988
1781,239,991
1782,240,966
1783,240,967
1784,240,968
1785,240,969
1786,240,970
1787,240,988
1788,240,990
1789,240,991
1790,240,992
1791,241,966
1792,241,968
1793,241,969
1794,241,970
1795,241,988
1796,241,990
1797,242,967
1798,242,968
1799,242,969
1800,242,970
1801,242,988
1802,242,989
1803,242,990
1804,242,991
1805,243,966
1806,243,967
1807,243,968
1808,243,969
1809,243,970
1810,243,990
1811,244,966
1812,244,968
1813,244,969
1814,244,970
1815,244,988
1816,244,990
1817,244,991
1818,244,992
1819,245,966
1820,245,967
1821,245,968
1822,245,969
1823,245,970
1824,245,989
1825,245,990
1826,245,991
1827,246,968
1828,246,969
1829,246,970
1830,246,989
1831,246,991
1832,247,967
1833,247,968
1834,247,969
1835,247,970
1836,247,990
1837,248,968
1838,248,970
1839,248,990
1840,248,991
1841,249,967
1842,249,969
1843,249,990
1844,249,992
1845,250,966
1846,250,968
1847,250,969
1848,250,989
1849,250,990
1850,250,991
1851,251,967
1852,251,969
1853,251,970
1854,251,971
1855,251,990
1856,251,992
1857,252,967
1858,252,968
1859,252,971
1860,252,989
1861,252,990
1862,252,991
1863,252,992
1864,253,967
1865,253,969
1866,253,970
1867,253,991
1868,254,966
1869,254,967
1870,254,968
1871,254,970
1872,254,990
1873,254,992
1874,255,967
1875,255,968
1876,255,970
1877,255,990
1878,255,991
1879,255,992
1880,256,967
1881,256,968
1882,256,969
1883,256,971
1884,256,991
1885,256,992
1886,257,967
1887,257,968
1888,257,969
1889,257,971
1890,257,990
1891,258,968
1892,258,970
1893,258,991
1894,259,968
1895,259,969
1896,259,992
1897,259,993
1898,260,967
1899,260,969
1900,260,992
1901,261,968
1902,261,970
1903,261,971
1904,261,991
1905,261,993
1906,262,967
1907,262,969
1908,262,990
1909,262,992
1910,263,967
1911,263,968
1912,263,970
1913,263,971
1914,263,972
1915,263,991
1916,263,992
1917,263,994
1918,264,966
1919,264,967
1920,264,969
1921,264,971
1922,264,991
1923,264,992
1924,264,993
1925,264,994
1926,265,967
1927,265,968
1928,265,970
1929,265,993
1930,265,994
1931,266,967
1932,266,969
1933,266,971
1934,266,991
1935,266,992
1936,267,967
1937,267,969
1938,267,970
1939,267,993
1940,267,994
1941,268,967
1942,268,968
1943,268,991
1944,268,992
1945,268,994
1946,269,969
1947,269,970
1948,269,971
1949,269,991
1950,269,993
1951,269,994
1952,270,968
1953,270,970
1954,270,971
1955,270,992
1956,270,994
1957,271,967
1958,271,968
1959,271,969
1960,271,970
1961,271,992
1962,271,993
1963,271,995
1964,272,968
1965,272,969
1966,272,970
1967,272,971
1968,272,991
1969,272,993
1970,272,994
1971,273,968
1972,273,969
1973,273,970
1974,273,971
1975,273,992
1976,273,994
1977,274,968
1978,274,969
1979,274,970
1980,274,971
1981,274,991
1982,274,993
1983,275,968
1984,275,969
1985,275,970
1986,275,971
1987,275,991
1988,275,992
1989,275,993
1990,275,994
1991,276,967
1992,276,968
1993,276,969
1994,276,970
1995,276,971
1996,276,994
1997,277,967
1998,277,968
1999,277,969
2000,277,970
2001,277,971
2002,277,994
2003,277,995
2004,278,967
2005,278,968
2006,278,969
2007,278,970
2008,278,971
2009,278,991
2010,278,993
2011,279,968
2012,279,969
2013,279,970
2014,279,971
2015,279,991
2016,279,992
2017,279,994
2018,279,995
2019,280,967
2020,280,968
2021,280,970
2022,280,992
2023,280,994
2024,280,995
2025,281,967
2026,281,968
2027,281,969
2028,281,970
2029,281,993
2030,281,994
2031,282,967
2032,282,969
2033,282,993
2034,283,968
2035,283,970
2036,283,992
2037,283,994
